Datum,Čas,Hodnota
2025.01.01 16:15,10
2025.01.03,02:05,10
2025.01.03,01:51,10
2025.01.03,01:36,10
2025.01.03,01:22,10
2025.01.07,23:12,10
2025.01.07,22:43,10
2025.01.07,22:15,10
2025.01.07,21:46,10
2025.01.07,21:17,10
2025.01.07,09:17,10
2025.01.07,08:48,10
2025.01.16,15:31,10
2025.01.16,15:03,10
2025.01.16,14:34,10
2025.01.17,23:55,10
2025.01.17,23:41,10
2025.01.17,23:27,10
2025.01.31,14:19,10
2025.01.31,13:51,10
2025.01.31,13:22,10
2025.01.31,12:53,10
2025.02.10,11:27,10
2025.02.16,18:24,10
2025.02.16,17:55,10
2025.02.16,17:27,10
2025.02.26,19:36,10
2025.02.26,19:07,10
2025.03.01,19:36,10
2025.03.07,23:12,10
2025.03.07,22:43,10
2025.03.08,17:27,10
2025.03.08,17:12,10
2025.03.17,21:46,10
2025.03.17,21:17,10
2025.03.18,16:43,10
2025.03.18,16:15,10
2025.03.18,16:00,10
2025.03.21,16:43,10
2025.03.22,07:36,10
2025.03.23,16:00,10
2025.03.23,15:31,10
2025.03.23,15:17,10
2025.03.27,06:53,10
2025.03.31,20:48,10
2025.03.31,19:36,10
2025.03.31,18:24,10
2025.04.01,11:55,10
2025.04.01,11:41,10
2025.04.02,19:07,10
2025.04.02,14:19,10
2025.04.02,14:05,10
2025.04.03,10:15,10
2025.04.03,10:00,10
2025.04.03,09:46,10
2025.04.03,09:31,10
